"","Setting","rep","alpha","beta","gamma","y.mean","Truth","Unadjusted","PSReg","PSS","IPW","IPW2"
"result.53",7,53,-1,7,-3.8,0.362338173471769,-0.199187967244689,-0.122702787447017,-0.133662031684033,-0.133424942221186,-0.1614809510491,-0.133952925701366
"result.54",7,54,-1,7,-3.8,0.361780901596236,-0.199187967244689,-0.129084537617277,-0.14059884634931,-0.140238555821861,-0.168838931486315,-0.141335427388484
"result.55",7,55,-1,7,-3.8,0.362400866557766,-0.199187967244689,-0.126816512753958,-0.137438833933435,-0.137394918147934,-0.165304777447008,-0.13774459480299
"result.56",7,56,-1,7,-3.8,0.360478278587176,-0.199187967244689,-0.123932863097403,-0.135403195339658,-0.135232324544133,-0.163140798440409,-0.135755718685787
"result.57",7,57,-1,7,-3.8,0.360638494251392,-0.199187967244689,-0.126114986414898,-0.137290382456929,-0.137042429326263,-0.165065606140161,-0.137667499131967
"result.58",7,58,-1,7,-3.8,0.360958925579824,-0.199187967244689,-0.123913369637363,-0.134994530522801,-0.134834671158605,-0.162861272330981,-0.135403569809071
"result.59",7,59,-1,7,-3.8,0.361032067513488,-0.199187967244689,-0.126051445658398,-0.135495823793849,-0.135346322003306,-0.162953600052943,-0.135518261271583
"result.60",7,60,-1,7,-3.8,0.360387721907402,-0.199187967244689,-0.124356443293469,-0.135512806303201,-0.135018919346793,-0.163179635620564,-0.135790127500084
"result.61",7,61,-1,7,-3.8,0.360962408529046,-0.199187967244689,-0.125038313270428,-0.1357312007332,-0.135609091832064,-0.163373008129717,-0.135974840464576
"result.62",7,62,-1,7,-3.8,0.36130373755281,-0.199187967244689,-0.127169561758587,-0.136202172967066,-0.136049465284557,-0.163777359144297,-0.136290181296439
"result.63",7,63,-1,7,-3.8,0.361443055521694,-0.199187967244689,-0.124446053002062,-0.135494029346928,-0.135436167508476,-0.163514266272719,-0.136028740313933
"result.64",7,64,-1,7,-3.8,0.360011563391417,-0.199187967244689,-0.129723394005745,-0.140522895206455,-0.14037391483721,-0.168076993351813,-0.140659074818172
"result.65",7,65,-1,7,-3.8,0.359649336672321,-0.199187967244689,-0.126542211958155,-0.136941179666174,-0.136570137044461,-0.164786687867965,-0.137420002192029
"result.66",7,66,-1,7,-3.8,0.361237561517591,-0.199187967244689,-0.125283674135616,-0.135665560313594,-0.135772918473964,-0.163562595147948,-0.136094503044061
"result.67",7,67,-1,7,-3.8,0.361766969799347,-0.199187967244689,-0.126819950629706,-0.137763463688163,-0.137730960193536,-0.165712773710765,-0.138213717302024
"result.68",7,68,-1,7,-3.8,0.361310703451254,-0.199187967244689,-0.125340231755659,-0.136208340806113,-0.136155596711618,-0.164055263142852,-0.136578533811128
"result.69",7,69,-1,7,-3.8,0.361018135716599,-0.199187967244689,-0.125449279407191,-0.135515252017628,-0.135227425343654,-0.163019952314979,-0.135582423371828
"result.70",7,70,-1,7,-3.8,0.360924096087603,-0.199187967244689,-0.128394065652467,-0.140764223827423,-0.140264231901755,-0.168370530207612,-0.140920314829775
"result.71",7,71,-1,7,-3.8,0.360993755072045,-0.199187967244689,-0.125607379214465,-0.136202874772992,-0.136057289073666,-0.164000413901256,-0.136579391750198
"result.72",7,72,-1,7,-3.8,0.361700793764128,-0.199187967244689,-0.126177386078469,-0.136550598393692,-0.136434659943772,-0.164326884732477,-0.136833970543231
"result.73",7,73,-1,7,-3.8,0.361582373490577,-0.199187967244689,-0.127282573262952,-0.137329517482784,-0.137334148789382,-0.165082963330531,-0.137532803392422
"result.74",7,74,-1,7,-3.8,0.360008080442195,-0.199187967244689,-0.126335322983682,-0.136811706593037,-0.136735296699837,-0.164389781011768,-0.137018314944875
"result.75",7,75,-1,7,-3.8,0.360025495188306,-0.199187967244689,-0.124863320694617,-0.135116485471764,-0.134806529321926,-0.162929668610109,-0.135597511711866
"result.76",7,76,-1,7,-3.8,0.360422551399623,-0.199187967244689,-0.127517294696773,-0.13789839076022,-0.13784233346903,-0.165305670539088,-0.137907684963326
"result.77",7,77,-1,7,-3.8,0.360088188274303,-0.199187967244689,-0.121349468505305,-0.132037863348412,-0.131285707963467,-0.160057415365667,-0.132752105114032
"result.78",7,78,-1,7,-3.8,0.359461257414328,-0.199187967244689,-0.122918267461622,-0.132876388165159,-0.132679005884931,-0.160345227416305,-0.133076468471724
"result.79",7,79,-1,7,-3.8,0.361760003900903,-0.199187967244689,-0.124556093441422,-0.135472926345829,-0.135214717092285,-0.163176948413146,-0.135710283597174
"result.80",7,80,-1,7,-3.8,0.36053400577473,-0.199187967244689,-0.124595287832943,-0.135642017370539,-0.135175090823411,-0.163141833623792,-0.135781318425073
"result.81",7,81,-1,7,-3.8,0.361244527416035,-0.199187967244689,-0.126234358641395,-0.137070940255561,-0.137023718075917,-0.164958466432845,-0.13743690775937
"result.82",7,82,-1,7,-3.8,0.362787473921418,-0.199187967244689,-0.12486630270734,-0.134410126263278,-0.134150152794187,-0.162066252505074,-0.134551145027452
"result.83",7,83,-1,7,-3.8,0.361812248139234,-0.199187967244689,-0.123758296412194,-0.134151724072504,-0.134072570858158,-0.162119095338905,-0.134612753153585
"result.84",7,84,-1,7,-3.8,0.362021225092559,-0.199187967244689,-0.126769753731796,-0.138874326928388,-0.138756196195436,-0.166754210401721,-0.139210892803118
"result.85",7,85,-1,7,-3.8,0.361530129252246,-0.199187967244689,-0.125593724148713,-0.136480318007566,-0.136112761516481,-0.164463629337653,-0.137024153852606
"result.86",7,86,-1,7,-3.8,0.359736410402873,-0.199187967244689,-0.124211372488382,-0.134987331371768,-0.134735359240696,-0.162728715137029,-0.1354090221518
"result.87",7,87,-1,7,-3.8,0.360572318216173,-0.199187967244689,-0.128936962557929,-0.139931002223107,-0.139627943767408,-0.167901939104825,-0.140499468306938
"result.88",7,88,-1,7,-3.8,0.360248403938519,-0.199187967244689,-0.12554326061302,-0.135821366575367,-0.135703885739976,-0.163475835052966,-0.136087130716989
"result.89",7,89,-1,7,-3.8,0.361571924642911,-0.199187967244689,-0.125444433800731,-0.137702371243665,-0.137195978226536,-0.165721561293085,-0.138199723683698
"result.90",7,90,-1,7,-3.8,0.35986527952409,-0.199187967244689,-0.123407633329146,-0.13546668212094,-0.135290077899216,-0.163226762686677,-0.135832987543893
"result.91",7,91,-1,7,-3.8,0.361021618665821,-0.199187967244689,-0.12386405814232,-0.13529825749091,-0.134970728132942,-0.163280173448253,-0.135825400001639
"result.92",7,92,-1,7,-3.8,0.362961621382522,-0.199187967244689,-0.124144141815311,-0.135969163051324,-0.135508505847109,-0.163856246985666,-0.136295998603309
"result.93",7,93,-1,7,-3.8,0.359750342199761,-0.199187967244689,-0.12562379422454,-0.137665749398827,-0.137192911043392,-0.165419465334877,-0.138077732018169
"result.94",7,94,-1,7,-3.8,0.359725961555206,-0.199187967244689,-0.125963503019819,-0.136622771841789,-0.136510404326927,-0.164114922651667,-0.136786104670979
"result.95",7,95,-1,7,-3.8,0.361230595619146,-0.199187967244689,-0.125101335348324,-0.136574886840394,-0.136256511651491,-0.164294531884646,-0.136828761703019
"result.96",7,96,-1,7,-3.8,0.361216663822258,-0.199187967244689,-0.125784401935313,-0.137035718453172,-0.13679801358954,-0.16474699376522,-0.137289067757478
"result.97",7,97,-1,7,-3.8,0.359499569855771,-0.199187967244689,-0.126240137869343,-0.136371426722172,-0.136104442365717,-0.16383298292861,-0.136522339044218
"result.98",7,98,-1,7,-3.8,0.362143128315332,-0.199187967244689,-0.126188803527742,-0.136812709428394,-0.136805284923683,-0.164453314896288,-0.136918070508591
"result.99",7,99,-1,7,-3.8,0.360394687805846,-0.199187967244689,-0.124720391068767,-0.135462444716216,-0.135153233737313,-0.163314826834228,-0.135925718235361
"result.100",7,100,-1,7,-3.8,0.36188887302212,-0.199187967244689,-0.126546338713048,-0.13738095594245,-0.136928649834759,-0.165317101570684,-0.137847688748686
"result.1",8,1,-1,8,-4.15,0.396958688739277,-0.199661578885506,-0.116439185013033,-0.128399734366714,-0.128156120021812,-0.158418756846858,-0.128473707037089
"result.2",8,2,-1,8,-4.15,0.397892119130795,-0.199661578885506,-0.115461294111471,-0.129302798496246,-0.128760631275376,-0.15952444023555,-0.129460840305799
"result.3",8,3,-1,8,-4.15,0.399734599269277,-0.199661578885506,-0.116569355923718,-0.12821642754913,-0.128531161547022,-0.158557764873423,-0.128398290638184
