"","Setting","rep","alpha","beta","gamma","y.mean","Truth","Unadjusted","PSReg","PSS","IPW","IPW2"
"result.2",8,2,-1,8,-4.85,0.26863290760084,-0.165167658234734,-0.0872507202990013,-0.100540322104329,-0.10008482968144,-0.121193678812314,-0.100707703483939
"result.3",8,3,-1,8,-4.85,0.269078725101267,-0.165167658234734,-0.0863474727468103,-0.097771351931517,-0.0979977213513272,-0.118547556569931,-0.0980871214230399
"result.4",8,4,-1,8,-4.85,0.268671220042283,-0.165167658234734,-0.0898880645211614,-0.102594511632526,-0.101811639318435,-0.123456165573575,-0.103032791311647
"result.5",8,5,-1,8,-4.85,0.265641054219071,-0.165167658234734,-0.0885787373588088,-0.0988866553318323,-0.0987788841488362,-0.119383196870255,-0.099184229138671
"result.6",8,6,-1,8,-4.85,0.267873624670426,-0.165167658234734,-0.090663652715408,-0.102939060738407,-0.102788228043672,-0.12360235352765,-0.103234758125578
"result.7",8,7,-1,8,-4.85,0.266821774005357,-0.165167658234734,-0.0880528369576052,-0.0999276573653327,-0.0998784661599715,-0.120589227654092,-0.100306742616746
"result.8",8,8,-1,8,-4.85,0.268462243088958,-0.165167658234734,-0.0902852682072116,-0.101313733712193,-0.101064937479926,-0.122045702460862,-0.101631749735732
"result.9",8,9,-1,8,-4.85,0.267908454162647,-0.165167658234734,-0.0897313169274991,-0.100743403545101,-0.100552984113597,-0.121356130585918,-0.10097563777551
"result.10",8,10,-1,8,-4.85,0.268490106682735,-0.165167658234734,-0.0910844729671512,-0.103551326020787,-0.10311989295992,-0.124503096088885,-0.10406421332402
"result.11",8,11,-1,8,-4.85,0.268336856916963,-0.165167658234734,-0.0881067938861462,-0.100532778157711,-0.100236239442721,-0.121341907699234,-0.100939016711483
"result.12",8,12,-1,8,-4.85,0.268110465217528,-0.165167658234734,-0.0919876686514818,-0.102932408318772,-0.102910889540397,-0.123429453552971,-0.103048465973101
"result.13",8,13,-1,8,-4.85,0.268775708518945,-0.165167658234734,-0.0879571923310019,-0.0988238875827104,-0.0984103008744207,-0.119579000090069,-0.0991812271626224
"result.14",8,14,-1,8,-4.85,0.267232762013563,-0.165167658234734,-0.0889480603668903,-0.100696657677769,-0.100494736192884,-0.121258246567911,-0.100984052817875
